adsh,tag,version,ddate,qtrs,uom,dimh,iprx,value,footnote,footlen,dimn,coreg,durp,datp,dcml
0000002969-26-000008,AccountsPayableAndAccruedLiabilitiesCurrent,us-gaap/2025,20250930,0,USD,0x00000000,0,3237700000.0,,0,0,,0.0,0.0,-5
0000002969-26-000008,AccountsPayableAndAccruedLiabilitiesCurrent,us-gaap/2025,20250930,0,USD,0xcd723312df0be144c67d81ba6f7cfb7d,0,201700000.0,,0,2,,0.0,0.0,-5
0000002969-26-000008,AccountsPayableAndAccruedLiabilitiesCurrent,us-gaap/2025,20251231,0,USD,0x00000000,0,3035300000.0,,0,0,,0.0,0.0,-5
0000002969-26-000008,AccountsPayableAndAccruedLiabilitiesCurrent,us-gaap/2025,20251231,0,USD,0xcd723312df0be144c67d81ba6f7cfb7d,0,201100000.0,,0,2,,0.0,0.0,-5
0000002969-26-000008,AccountsReceivableNetCurrent,us-gaap/2025,20250930,0,USD,0x00000000,0,1901200000.0,,0,0,,0.0,0.0,-5
0000002969-26-000008,AccountsReceivableNetCurrent,us-gaap/2025,20250930,0,USD,0x925220d2d88cfa5035259ecd112c0769,0,105000000.0,,0,1,,0.0,0.0,-6
0000002969-26-000008,AccountsReceivableNetCurrent,us-gaap/2025,20250930,0,USD,0xcd723312df0be144c67d81ba6f7cfb7d,0,1100000.0,,0,2,,0.0,0.0,-5
0000002969-26-000008,AccountsReceivableNetCurrent,us-gaap/2025,20251231,0,USD,0x00000000,0,1894900000.0,,0,0,,0.0,0.0,-5
0000002969-26-000008,AccountsReceivableNetCurrent,us-gaap/2025,20251231,0,USD,0x925220d2d88cfa5035259ecd112c0769,0,160000000.0,,0,1,,0.0,0.0,-6
0000002969-26-000008,AccountsReceivableNetCurrent,us-gaap/2025,20251231,0,USD,0xcd723312df0be144c67d81ba6f7cfb7d,0,1400000.0,,0,2,,0.0,0.0,-5
0000002969-26-000008,AccrualForEnvironmentalLossContingencies,us-gaap/2025,20060930,0,USD,0x956e88305d498b95655c580bb73f8a63,0,42000000.0,,0,1,,0.0,0.0,-6
0000002969-26-000008,AccrualForEnvironmentalLossContingencies,us-gaap/2025,20080930,0,USD,0x1769af54d1bdfc25b287a25395a06dd1,0,24000000.0,,0,1,,0.0,0.0,-6
0000002969-26-000008,AccrualForEnvironmentalLossContingencies,us-gaap/2025,20250930,0,USD,0x3d7f855a0f989cd3f89a6c13c1c02a25,0,85600000.0,,0,1,,0.0,0.0,-5
0000002969-26-000008,AccrualForEnvironmentalLossContingencies,us-gaap/2025,20251231,0,USD,0x1769af54d1bdfc25b287a25395a06dd1,0,10000000.0,,0,1,,0.0,0.0,-5
0000002969-26-000008,AccrualForEnvironmentalLossContingencies,us-gaap/2025,20251231,0,USD,0x3d7f855a0f989cd3f89a6c13c1c02a25,0,85100000.0,,0,1,,0.0,0.0,-5
0000002969-26-000008,AccrualForEnvironmentalLossContingencies,us-gaap/2025,20251231,0,USD,0x956e88305d498b95655c580bb73f8a63,0,53400000.0,,0,1,,0.0,0.0,-5
