tag,version,custom,abstract,datatype,iord,crdr,tlabel,doc
A.G.P.AllianceGlobalPartnersMember,0001628280-26-001793,1,1,member,,,A.G.P. / Alliance Global Partners [Member],A.G.P. / Alliance Global Partners
A0.110Due2026Member,0000080424-26-000006,1,1,member,,,0.110% due 2026 [Member],0.110% due 2026
A0.110NotesDue2026Domain,0000080424-26-000002,1,1,member,,,0.110% Notes due 2026 [Domain],0.110% Notes due 2026
A0.110NotesDue2026Domain,0000080424-26-000009,1,1,member,,,0.110% Notes due 2026 [Domain],0.110% Notes due 2026
A0.110NotesDue2026Member,0000080424-26-000011,1,1,member,,,0.110% Notes due 2026 [Member],0.110% Notes due 2026
A0.125Notesdue2026Member,0001628280-26-002116,1,1,member,,,0.125% Notes due 2026 [Member],0.125% Notes due 2026 [Member]
A0.230Due2031Member,0000080424-26-000006,1,1,member,,,0.230% due 2031 [Member],0.230% due 2031
A0.230NotesDue2031Domain,0000080424-26-000002,1,1,member,,,0.230% Notes due 2031 [Domain],0.230% Notes due 2031
A0.230NotesDue2031Domain,0000080424-26-000009,1,1,member,,,0.230% Notes due 2031 [Domain],0.230% Notes due 2031
A0.230NotesDue2031Member,0000080424-26-000011,1,1,member,,,0.230% Notes due 2031 [Member],0.230% Notes due 2031
A0.250SeniorNotesDue2028Member,0000103379-26-000011,1,1,member,,,0.250% Senior Notes due 2028 [Member],0.250% Senior Notes due 2028
A0.2SeniorNotesDue2026Member,0000313616-26-000002,1,1,member,,,0.2% Senior Notes Due 2026 [Member],0.2% Senior Notes Due 2026 [Member]
A0.2SeniorNotesDue2026Member,0000313616-26-000004,1,1,member,,,0.2% Senior Notes Due 2026 [Member],0.2% Senior Notes Due 2026 [Member]
A0.350Due2030Member,0000080424-26-000006,1,1,member,,,0.350% due 2030 [Member],0.350% due 2030
A0.350NotesDue2030Domain,0000080424-26-000002,1,1,member,,,0.350% Notes due 2030 [Domain],0.350% Notes due 2030
A0.350NotesDue2030Domain,0000080424-26-000009,1,1,member,,,0.350% Notes due 2030 [Domain],0.350% Notes due 2030
A0.350NotesDue2030Member,0000080424-26-000011,1,1,member,,,0.350% Notes due 2030 [Member],0.350% Notes due 2030
A0.45SeniorNotesDue2028Member,0000313616-26-000002,1,1,member,,,0.45% Senior Notes Due 2028 [Member],0.45% Senior Notes Due 2028 [Member]
A0.45SeniorNotesDue2028Member,0000313616-26-000004,1,1,member,,,0.45% Senior Notes Due 2028 [Member],0.45% Senior Notes Due 2028 [Member]
A0.500NotesDue2026Member,0000021665-26-000003,1,1,member,,,0.500% Notes Due 2026 [Member],0.500% Notes Due 2026 [Member]
A0.500Notesdue2031Member,0000320193-26-000005,1,1,member,,,0.500% Notes due 2031 [Member],0.500% Notes due 2031 [Member]
